date,ETERNAL.NS,NYKAA.NS,PAYTM.NS,POLICYBZR.NS,DELHIVERY.NS,IRCTC.NS,AFFLE.NS,ROUTE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,TATAMOTORS.NS,TATAPOWER.NS,TATACHEM.NS,DIXON.NS,DEEPAKNTR.NS,BALAMINES.NS,LAURUSLABS.NS,DRREDDY.NS,CIPLA.NS,SUNPHARMA.NS,DIVISLAB.NS,LUPIN.NS,BIOCON.NS,GLAND.NS,BAJFINANCE.NS,BAJAJFINSV.NS,HDFCLIFE.NS,ICICIGI.NS,MUTHOOTFIN.NS,DMART.NS,JUBLFOOD.NS,RBA.NS
2020-02-03,,,,,,240.33621215820312,350.8800048828125,,218.81321716308594,196.14999389648438,352.6951599121094,11.800000190734863,160.95205688476562,51.094852447509766,294.1529235839844,946.0677490234375,398.58563232421875,385.8153991699219,83.7183609008789,605.4714965820312,423.75311279296875,392.9486389160156,1899.4686279296875,685.5484008789062,295.4910888671875,,426.0467529296875,906.06689453125,556.7781372070312,1252.1605224609375,673.649658203125,2131.64990234375,385.8004150390625,
2020-02-04,,,,,,271.4241638183594,359.3399963378906,,223.3202667236328,198.0,357.63970947265625,12.09000015258789,162.7693328857422,52.49089050292969,291.8919677734375,949.4560546875,393.8150634765625,396.4056396484375,85.23821258544922,624.2855834960938,427.470703125,400.57147216796875,1888.4439697265625,698.0761108398438,287.1757507324219,,441.67401123046875,950.8160400390625,564.4605712890625,1265.301513671875,693.4985961914062,2155.300048828125,381.3611755371094,
2020-02-05,,,,,,289.85028076171875,353.8599853515625,,234.01821899414062,193.25,351.9751281738281,12.399999618530273,180.50009155273438,53.23543930053711,297.6833801269531,928.0095825195312,397.5146789550781,407.0445251464844,85.28691864013672,603.3917236328125,426.61279296875,401.1360778808594,1889.743896484375,698.9468994140625,292.2738342285156,,442.5487060546875,956.4503173828125,574.6546020507812,1286.4815673828125,683.8217163085938,2248.89990234375,383.28485107421875,
2020-02-06,,,,,,289.0336608886719,339.07000732421875,,234.26585388183594,202.89999389648438,355.4314880371094,12.15999984741211,175.686767578125,53.70078659057617,298.7543640136719,929.7037963867188,386.70794677734375,409.0362243652344,85.28691864013672,608.3214721679688,419.0823669433594,405.2768249511719,1947.8519287109375,698.3663940429688,292.57080078125,,456.05035400390625,959.272216796875,584.7008056640625,1326.289794921875,687.287353515625,2294.35009765625,367.5698547363281,
2020-02-07,,,,,,290.8014221191406,339.19000244140625,,237.23753356933594,213.0,354.807373046875,12.170000076293945,170.5296173095703,53.9799919128418,302.97894287109375,916.3297119140625,394.009765625,400.049072265625,85.53048706054688,609.81396484375,422.4663391113281,405.4179992675781,2008.463623046875,684.532470703125,305.7862548828125,,454.8726501464844,959.63134765625,586.7199096679688,1330.188720703125,684.9918212890625,2287.199951171875,375.2941589355469,
2020-02-10,,,,,,284.4031677246094,334.30999755859375,,242.1903076171875,213.35000610351562,353.55926513671875,11.979999542236328,165.91273498535156,53.002769470214844,302.0467529296875,919.5885009765625,399.7052307128906,424.04718017578125,84.91670227050781,606.4246826171875,423.94378662109375,395.53662109375,2011.35205078125,679.0667724609375,306.627685546875,,461.4646911621094,960.000244140625,579.185302734375,1325.90478515625,684.4067993164062,2483.64990234375,366.0013732910156,
2020-02-11,,,,,,270.5307922363281,350.739990234375,,242.9827423095703,211.25,359.2719421386719,12.029999732971191,166.74771118164062,53.65425109863281,300.7773742675781,920.6748046875,402.3825988769531,412.2424011230469,84.98490905761719,614.5318603515625,429.52008056640625,393.8897705078125,2067.1494140625,682.065673828125,302.7669982910156,,464.1620788574219,970.4309692382812,574.7037963867188,1317.48095703125,672.7944946289062,2394.5,360.1809997558594,
2020-02-12,,,,,,271.9237976074219,388.3599853515625,,247.34117126464844,207.64999389648438,359.1758728027344,12.09000015258789,167.9264678955078,52.11861038208008,300.1427001953125,920.8043212890625,415.42864990234375,400.146240234375,85.66688537597656,615.3984985351562,425.89788818359375,390.1725158691406,2042.982177734375,680.2760009765625,304.35089111328125,,466.05316162109375,974.4446411132812,569.6314086914062,1300.8741455078125,667.6184692382812,2482.14990234375,359.0859680175781,
2020-02-13,,,,,,303.6457824707031,398.0899963378906,,249.07464599609375,199.9499969482422,354.3753662109375,12.020000457763672,166.50210571289062,51.467132568359375,301.76904296875,935.3245849609375,416.3048400878906,391.11053466796875,85.9883804321289,640.2207641601562,422.6569519042969,394.2661437988281,2075.718994140625,680.469482421875,303.9548645019531,,468.65771484375,968.9949951171875,568.498779296875,1297.1195068359375,666.4932250976562,2544.14990234375,362.0652160644531,
2020-02-14,,,,,,299.2362365722656,392.260009765625,,253.730224609375,206.8000030517578,352.21514892578125,11.920000076293945,166.1092071533203,50.07109069824219,304.1094665527344,894.8731689453125,447.7029724121094,409.6677551269531,85.17976379394531,636.3116455078125,426.183837890625,393.8897705078125,2066.716064453125,694.2550048828125,304.69732666015625,,467.32855224609375,966.3323974609375,565.2978515625,1303.1363525390625,672.3443603515625,2408.35009765625,357.6259765625,
