date,ETERNAL.NS,NYKAA.NS,PAYTM.NS,POLICYBZR.NS,DELHIVERY.NS,IRCTC.NS,AFFLE.NS,ROUTE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,TATAMOTORS.NS,TATAPOWER.NS,TATACHEM.NS,DIXON.NS,DEEPAKNTR.NS,BALAMINES.NS,LAURUSLABS.NS,DRREDDY.NS,CIPLA.NS,SUNPHARMA.NS,DIVISLAB.NS,LUPIN.NS,BIOCON.NS,GLAND.NS,BAJFINANCE.NS,BAJAJFINSV.NS,HDFCLIFE.NS,ICICIGI.NS,MUTHOOTFIN.NS,DMART.NS,JUBLFOOD.NS,RBA.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,AXISBANK.NS,SBIN.NS,INFY.NS,TCS.NS,LT.NS,HINDUNILVR.NS,ITC.NS,ASIANPAINT.NS,TITAN.NS
2015-01-01,,,,,,,,,70.76136779785156,,301.77288818359375,8.84000015258789,484.241943359375,70.00164031982422,132.10606384277344,,76.9323501586914,67.74022674560547,,597.1715087890625,586.8890991210938,757.8303833007812,799.1676025390625,1344.990478515625,68.26109313964844,,33.75812530517578,127.90367889404297,,,173.6448211669922,,133.22299194335938,,189.9998321533203,217.23533630371094,294.0238342285156,486.962890625,279.8805236816406,367.7708435058594,1006.8563842773438,848.3334350585938,633.171875,173.04220581054688,684.9317016601562,362.7237243652344
2015-01-02,,,,,,,,,71.10794830322266,,301.58404541015625,8.989999771118164,497.2113952636719,71.02418518066406,133.21578979492188,,79.16093444824219,67.03801727294922,,599.198974609375,588.5236206054688,761.5632934570312,802.5786743164062,1347.908203125,68.85527801513672,,33.21843719482422,126.81511688232422,,,164.7762908935547,,133.7887420654297,,189.4969482421875,220.25869750976562,302.3697204589844,497.8531188964844,280.9947509765625,374.998046875,1020.2650756835938,866.2261962890625,631.0847778320312,173.58424377441406,708.6113891601562,365.5888366699219
2015-01-05,,,,,,,,,72.28490447998047,,305.7864074707031,9.020000457763672,508.86932373046875,70.5981216430664,132.48609924316406,,78.27877807617188,67.13164520263672,,585.6204833984375,591.185302734375,762.0242309570312,797.748291015625,1346.02587890625,68.95164489746094,,33.13161849975586,125.13008880615234,,,160.72674560546875,,134.64720153808594,,187.4212646484375,218.3990478515625,302.9955749511719,500.99920654296875,278.76641845703125,371.7756042480469,1004.760009765625,878.2772827148438,634.71630859375,174.26760864257812,708.5656127929688,368.54949951171875
2015-01-06,,,,,,,,,71.73613739013672,,303.9449462890625,8.8100004196167,487.10784912109375,67.871337890625,128.4879150390625,,76.09664154052734,65.11862182617188,,570.2100219726562,573.7671508789062,745.2490234375,766.5225219726562,1313.6055908203125,66.61495971679688,,33.045772552490234,122.23719024658203,,,158.70196533203125,,130.3452911376953,,178.9152374267578,214.9992218017578,290.1430358886719,483.0907897949219,267.3126525878906,364.0081787109375,967.7183837890625,848.9824829101562,646.73779296875,169.79017639160156,691.6514282226562,355.9429626464844
2015-01-07,,,,,,,,,71.10074615478516,,303.2366943359375,8.829999923706055,479.7730407714844,66.6783676147461,131.5283660888672,,76.88591766357422,66.8975830078125,,565.3087158203125,571.5256958007812,746.4012451171875,755.304931640625,1296.430908203125,64.93675231933594,,33.71858215332031,122.13280487060547,,,158.41851806640625,,128.67230224609375,,182.80982971191406,215.626708984375,282.2979431152344,482.70355224609375,267.5354919433594,365.7497863769531,956.287109375,846.950439453125,669.4449462890625,166.63238525390625,705.548583984375,357.757568359375
2015-01-08,,,,,,,,,73.90230560302734,,315.9384460449219,9.09000015258789,497.40570068359375,68.1695785522461,133.89988708496094,,76.65377807617188,67.31890106201172,,570.3494873046875,577.3629150390625,754.6964721679688,756.8616943359375,1324.9925537109375,65.95652770996094,,33.66118240356445,128.2218017578125,,,159.1879425048828,,131.87681579589844,,180.18849182128906,220.156005859375,289.9761657714844,485.8980407714844,271.72479248046875,367.5938720703125,966.610595703125,852.3410034179688,682.0924682617188,170.803466796875,750.0281372070312,356.134033203125
2015-01-09,,,,,,,,,73.16580963134766,,312.7275695800781,8.949999809265137,507.412109375,67.99916076660156,134.4015350341797,,76.70021057128906,67.13164520263672,,588.4851684570312,590.5781860351562,765.0658569335938,779.3882446289062,1336.991455078125,66.7996597290039,,33.279205322265625,127.16801452636719,,,158.98545837402344,,134.1790008544922,,184.09373474121094,222.62034606933594,285.302490234375,479.1219482421875,270.2541198730469,386.4070739746094,993.7050170898438,846.809326171875,721.7884521484375,168.2112579345703,742.8510131835938,356.134033203125
2015-01-12,,,,,,,,,74.30665588378906,,310.17779541015625,9.350000381469727,507.412109375,68.42523193359375,133.7174530029297,,76.65377807617188,71.95352935791016,,596.5670776367188,589.0839233398438,769.90478515625,781.2424926757812,1346.6845703125,67.49824523925781,,33.16490173339844,126.02478790283203,,,158.86392211914062,,138.36383056640625,,181.953857421875,220.6580047607422,289.2250061035156,485.51080322265625,273.73028564453125,394.1371765136719,992.6766967773438,865.9724731445312,748.5028686523438,168.65899658203125,738.50830078125,359.858642578125
2015-01-13,,,,,,,,,71.72892761230469,,305.0309753417969,9.09000015258789,504.6433410644531,67.40267181396484,136.16497802734375,,76.60735321044922,73.31112670898438,,599.5618286132812,594.3606567382812,767.8768920898438,789.3009643554688,1348.6138916015625,68.55818176269531,,33.59705352783203,127.88877868652344,,,158.782958984375,,136.28604125976562,,180.42385864257812,219.81373596191406,284.50958251953125,488.36651611328125,271.9476318359375,389.09869384765625,988.0091552734375,857.6749267578125,738.443115234375,169.71945190429688,762.3709716796875,355.46551513671875
2015-01-14,,,,,,,,,70.9563217163086,,312.82196044921875,9.100000381469727,505.51763916015625,67.18965148925781,134.70559692382812,,77.44307708740234,74.0601577758789,,596.7530517578125,589.6908569335938,756.4017333984375,780.7847290039062,1339.485107421875,68.0362319946289,,36.40354919433594,124.68272399902344,,,155.8672637939453,,136.3835906982422,,178.66915893554688,219.93922424316406,281.1712646484375,483.6231994628906,271.591064453125,396.50286865234375,997.5218505859375,856.8281860351562,771.4188232421875,163.92230224609375,770.416748046875,354.8924255371094
2015-01-15,,,,,,,,,72.33544158935547,,312.2081604003906,9.1899995803833,517.758544921875,69.6181869506836,135.5416717529297,,76.97877502441406,73.82608795166016,,602.760986328125,595.9015502929688,761.2407836914062,776.3433837890625,1352.4722900390625,69.0801010131836,,37.23551940917969,128.14724731445312,,,161.05068969726562,,137.9492645263672,,184.93899536132812,226.61341857910156,294.48284912109375,497.6111145019531,285.4959716796875,397.5459289550781,1004.3049926757812,888.267822265625,769.3316650390625,168.68258666992188,767.3995361328125,358.9991149902344
2015-01-16,,,,,,,,,72.2488021850586,,312.4442138671875,9.15999984741211,510.7637634277344,70.47030639648438,135.00965881347656,,77.07164001464844,72.98342895507812,,611.177734375,604.5872802734375,783.2235107421875,783.9210205078125,1343.9085693359375,69.05602264404297,,37.98404312133789,126.01980590820312,,,159.9168243408203,,138.29067993164062,,186.10525512695312,228.4844512939453,295.31744384765625,498.3371276855469,281.17303466796875,394.57501220703125,1001.5562133789062,898.4560546875,785.610595703125,169.71945190429688,771.1480712890625,369.79107666015625
2015-01-19,,,,,,,,,73.1152572631836,,310.0833435058594,9.329999923706055,523.1503295898438,70.5555191040039,135.20724487304688,,77.30377197265625,72.28121948242188,,618.2645874023438,614.3470458984375,795.4362182617188,783.9210205078125,1377.269775390625,69.32903289794922,,37.63631057739258,125.0555191040039,,,167.73248291015625,,137.24205017089844,,188.23440551757812,229.21461486816406,301.1177978515625,512.0346069335938,279.12286376953125,391.63189697265625,993.1908569335938,911.494873046875,745.1217651367188,169.10675048828125,760.5880737304688,376.7628479003906
2015-01-20,,,,,,,,,73.1441650390625,,312.1137390136719,9.3100004196167,543.2603149414062,69.95903778076172,135.22244262695312,,76.70021057128906,71.34490203857422,,614.9722290039062,618.082763671875,804.0081176757812,775.8626098632812,1388.7509765625,68.87935638427734,,37.665245056152344,131.4178924560547,,,175.6291046142578,,134.81790161132812,,193.24171447753906,232.95668029785156,306.9181823730469,533.7667236328125,283.57958984375,395.6739501953125,989.0175170898438,919.792236328125,747.5427856445312,174.90386962890625,767.2623291015625,375.9033203125
2015-01-21,,,,,,,,,73.09358978271484,,311.0276794433594,9.199999809265137,535.77978515625,71.06678771972656,133.4134063720703,,75.3073501586914,70.87677764892578,,620.4873657226562,600.9448852539062,816.5894775390625,768.8576049804688,1397.314697265625,68.44576263427734,,36.82266616821289,128.50511169433594,,,188.30418395996094,,136.60797119140625,,194.03347778320312,232.72853088378906,307.50238037109375,529.74951171875,290.7548828125,404.1864929199219,994.2984619140625,933.9033813476562,786.362060546875,166.2317657470703,778.3251342773438,388.653076171875
2015-01-22,,,,,,,,,74.89152526855469,,311.07489013671875,9.449999809265137,550.3521728515625,70.98158264160156,134.2647247314453,,75.9109115600586,70.78316497802734,,625.2119140625,611.545166015625,848.0197143554688,758.2122192382812,1414.86572265625,68.30924224853516,,37.04693603515625,129.05685424804688,,,185.06454467773438,,137.05670166015625,,189.1117401123047,233.02517700195312,308.6290283203125,546.6897583007812,289.3733215332031,409.1319580078125,994.1992797851562,938.8422241210938,788.615966796875,165.2655487060547,792.8165283203125,381.7767639160156
2015-01-23,,,,,,,,,81.4261245727539,,327.6013488769531,10.170000076293945,571.676513671875,75.71084594726562,133.97589111328125,,75.40020751953125,72.42166137695312,,623.0448608398438,632.8857421875,854.2413940429688,768.4912719726562,1401.6904296875,66.34195709228516,,37.33149337768555,130.44863891601562,,,180.4885711669922,,136.0177764892578,,189.7858123779297,237.94239807128906,309.3802185058594,547.0769653320312,291.86907958984375,412.5965576171875,990.263916015625,965.9356079101562,805.8550415039062,164.699951171875,788.1991577148438,380.9172668457031
2015-01-27,,,,,,,,,81.05787658691406,,325.9487609863281,10.0,587.3175659179688,75.83865356445312,133.82388305664062,,79.48592376708984,72.6089096069336,,597.52490234375,660.3436889648438,842.4434814453125,773.0927124023438,1434.440185546875,65.76380920410156,,40.21950912475586,136.73146057128906,,,179.75962829589844,,138.66622924804688,,190.2458953857422,245.07286071777344,320.0628356933594,573.1651611328125,294.1865234375,397.9651184082031,991.6307983398438,983.2640991210938,786.362060546875,169.74302673339844,814.1649169921875,382.63629150390625
