date,Rm,CSAD,abs_Rm,Rm_sq,N,CSAD_fitted,residual
2007-01-03,0.0055130931420552,0.014423237619467,0.0055130931420552,3.03941959929766e-05,47,0.01531194627635376,-0.0008887086568867587
2007-01-04,-0.0064908817842004,0.0113344065421487,0.0064908817842004,4.213154633646505e-05,47,0.015580651291948211,-0.004246244749799512
2007-01-05,-0.005197292294449,0.0130424840210148,0.005197292294449,2.7011847193939635e-05,47,0.015225135849319355,-0.002182651828304556
2007-01-08,-0.0130294400606781,0.0104160151542048,0.0130294400606781,0.0001697663082948,47,0.01737443206894323,-0.006958416914738428
2007-01-09,-0.0055617623990252,0.0111788253179502,0.0055617623990252,3.0933200983211285e-05,47,0.015325323848708087,-0.004146498530757886
2007-01-10,-0.01058102788825,0.0123068120242687,0.01058102788825,0.0001119581511719,47,0.016703363623658807,-0.004396551599390107
2007-01-11,0.019637897222958,0.0156451895420529,0.019637897222958,0.0003856470073394,47,0.01918195597090672,-0.0035367664288538207
2007-01-12,0.028887017117782,0.0211011127306651,0.028887017117782,0.000834459757963,47,0.02170257397581744,-0.0006014612451523405
2007-01-15,0.0139858300745209,0.0197315218528416,0.0139858300745209,0.0001956034428733,47,0.01763635880356896,0.002095163049272642
2007-01-16,0.0040579745607821,0.0130854067956718,0.0040579745607821,1.6467157535955215e-05,47,0.014911845374808658,-0.001826438579136858
2007-01-17,0.0031452285677572,0.0116100810176139,0.0031452285677572,9.892462743436344e-06,47,0.014660740650456264,-0.0030506596328423643
2007-01-18,0.0038403965013051,0.0100887666109834,0.0038403965013051,1.474864528723654e-05,47,0.01485199712985837,-0.004763230518874969
2007-01-19,-0.0061315797546402,0.0125932203288903,0.0061315797546402,3.759627028751366e-05,47,0.015481925794528546,-0.002888705465638245
2007-01-22,0.0030752552417174,0.0130014382535271,0.0030752552417174,9.457194801710386e-06,47,0.014641486052089857,-0.001640047798562758
2007-01-23,-0.0184862136466825,0.0188371478922142,0.0184862136466825,0.0003417400949907,47,0.01886734417108431,-3.0196278870110727e-05
2007-01-24,0.0099364524338531,0.0148284692436605,0.0099364524338531,9.873308697022604e-05,47,0.01652657170513753,-0.0016981024614770284
2007-01-25,0.0138803431303561,0.0143084437730995,0.0138803431303561,0.0001926639254164,47,0.017607474684745526,-0.0032990309116460257
2007-01-29,-0.0029409986850971,0.0178252048798589,0.0029409986850971,8.649473265742932e-06,47,0.014604540887461739,0.0032206639923971596
2007-01-31,-0.0096120830662871,0.0154789222119579,0.0096120830662871,9.239214087320338e-05,47,0.016437585147280463,-0.0009586629353225632
2007-02-01,0.0116335483150613,0.0125140768393213,0.0116335483150613,0.0001353394463988,47,0.016991933577283014,-0.004477856737961713
2007-02-02,0.0096820811874341,0.0172823012942223,0.0096820811874341,9.37426961200653e-05,47,0.016456789343596685,0.0008255119506256139
2007-02-05,0.0041442053551867,0.0132364921776221,0.0041442053551867,1.7174438025958124e-05,47,0.014935562863990812,-0.0016990706863687123
2007-02-06,0.0005022256310398,0.0100782557300975,0.0005022256310398,2.522305844733572e-07,47,0.013933038838800779,-0.0038547831087032795
2007-02-07,0.0096136717454619,0.0151830898000607,0.0096136717454619,9.242268442949273e-05,47,0.016438021013014625,-0.0012549312129539244
2007-02-08,-0.0006070653970804,0.0107330204885087,0.0006070653970804,3.685283963323887e-07,47,0.01396192116258175,-0.0032289006740730507
2007-02-09,-0.0141996123359941,0.0139019907623131,0.0141996123359941,0.0002016289904925,47,0.017694891753478655,-0.003792900991165556
2007-02-12,-0.0350953748975172,0.0212614166154319,0.0350953748975172,0.0012316853391972,47,0.023388506857152738,-0.002127090241720836
2007-02-13,-0.0072338372058726,0.0159615893280753,0.0072338372058726,5.232840072106747e-05,47,0.015784742106948545,0.0001768472211267566
2007-02-14,-0.0027512560464473,0.0192913247974488,0.0027512560464473,7.569409833113184e-06,47,0.01455232303447855,0.004739001762970251
2007-02-15,0.0267952453594102,0.0155746131569997,0.0267952453594102,0.0007179851738709,47,0.02113344971176811,-0.005558836554768408
2007-02-19,0.0011543207474083,0.0141003719765976,0.0011543207474083,1.3324563878972845e-06,47,0.014112662310611009,-1.2290334013408816e-05
2007-02-20,-0.0121608217937038,0.0104259653817198,0.0121608217937038,0.0001478855866982,47,0.017136444273470164,-0.006710478891750363
2007-02-21,-0.000518746151087,0.0114014122124105,0.000518746151087,2.6909756926761695e-07,47,0.013937590170728735,-0.0025361779583182344
2007-02-22,-0.018835287734562,0.0163553979242573,0.018835287734562,0.0003547680640437,47,0.01896272019823271,-0.0026073222739754105
2007-02-23,-0.0260567673235398,0.0152343343207815,0.0260567673235398,0.000678955123353,47,0.020932395675211136,-0.005698061354429636
2007-02-26,0.0071339128470792,0.0136473066865269,0.0071339128470792,5.089271250972184e-05,48,0.015757296774330895,-0.002109990087803996
2007-02-27,-0.0031674927827743,0.0143938843060528,0.0031674927827743,1.0033010528927389e-05,48,0.014666866978254672,-0.00027298267220187203
2007-02-28,-0.0370127460976251,0.0192877653772676,0.0370127460976251,0.0013699433736872,48,0.023908211227537477,-0.004620445850269876
2007-03-01,0.0082311928506793,0.0198294994284418,0.0082311928506793,6.775253574507447e-05,48,0.01605860845515075,0.003770890973291051
2007-03-02,-0.016717640448926,0.0185763598620736,0.016717640448926,0.0002794795021795,48,0.01838389024939121,0.0001924696126823916
2007-03-05,-0.0449922046638565,0.0247669867877802,0.0449922046638565,0.0020242984805143,48,0.026066109023300765,-0.0012991222355205646
2007-03-06,0.0094465415839443,0.0235929944076818,0.0094465415839443,8.923714789718948e-05,48,0.016392165902539394,0.0072008285051424065
2007-03-07,-0.0180901434520475,0.0186079504758232,0.0180901434520475,0.0003272532901156,48,0.018759109142752473,-0.00015115866692927415
2007-03-08,0.0398284546971237,0.0215418103403674,0.0398284546971237,0.0015863058035608,48,0.024670577014924384,-0.0031287666745569848
2007-03-09,-0.0119658973212416,0.0198810400926484,0.0119658973212416,0.0001431826987024,48,0.017083025058626928,0.0027980150340214706
2007-03-12,0.0010087119324189,0.0158720080886841,0.0010087119324189,1.0174997626043502e-06,48,0.01407255810957786,0.001799449979106242
2007-03-13,0.0135049094031281,0.012874042411812,0.0135049094031281,0.0001823825779867,48,0.017504663256668,-0.004630620844856
2007-03-14,-0.0277087233415904,0.0122334091577467,0.0277087233415904,0.0007677733492208,48,0.02138205392525202,-0.009148644767505319
2007-03-15,0.0026459849786766,0.0135310902129589,0.0026459849786766,7.001236507382418e-06,48,0.01452335011799473,-0.0009922599050358298
2007-03-16,-0.0104884214868664,0.0108073063182737,0.0104884214868664,0.0001100069852861,48,0.016677967057661943,-0.005870660739388243
2007-03-19,0.0168426373263833,0.01310935072128,0.0168426373263833,0.000283674432108,48,0.018418072012935893,-0.005308721291655893
2007-03-20,0.009965133964101,0.0160684604200691,0.009965133964101,9.930389492248004e-05,48,0.01653443948032051,-0.0004659790602514098
2007-03-21,0.0112638305608628,0.015752650621204,0.0112638305608628,0.0001268738789038,48,0.016890583695998065,-0.001137933074794064
2007-03-22,0.0269530074870605,0.0202738170018471,0.0269530074870605,0.0007264646125975,48,0.021176392333961475,-0.0009025753321143769
2007-03-23,-0.0007337408587345,0.0157232629626715,0.0007337408587345,5.383756477764563e-07,48,0.013996817171722607,0.0017264457909488932
2007-03-26,-0.0090681832730627,0.0100703125090949,0.0090681832730627,8.223194787385508e-05,48,0.016288343714130855,-0.006218031205035956
2007-03-28,-0.0149652350650033,0.0137016224587939,0.0149652350650033,0.0002239582605508,48,0.017904470098918844,-0.0042028476401249435
2007-03-29,0.0017768188647678,0.0154854186179575,0.0017768188647678,3.157085278195062e-06,48,0.014284083498565785,0.0012013351193917148
2007-03-30,0.01201589603444,0.0123527176273596,0.01201589603444,0.0001443817575104,48,0.017096727700943146,-0.004744010073583547
2007-04-02,-0.0446250469498115,0.0192665355373488,0.0446250469498115,0.0019913948152728,48,0.02596699274411633,-0.00670045720676753
2007-04-03,0.0132725829113996,0.0100159275770992,0.0132725829113996,0.0001761614571399,48,0.017441032497033424,-0.007425104919934224
2007-04-04,0.0058898342065368,0.0144123892419253,0.0058898342065368,3.4690146980492015e-05,48,0.015415492231377611,-0.0010031029894523105
2007-04-05,0.0101945876636111,0.0119923163839917,0.0101945876636111,0.000103929617631,48,0.016597378377841168,-0.004605061993849467
2007-04-09,0.0267456362238355,0.0157885949484173,0.0267456362238355,0.0007153290570177,48,0.02111994553376353,-0.005331350585346232
2007-04-10,0.0035349550421406,0.0109510667445877,0.0035349550421406,1.2495907149955404e-05,48,0.014767970694371586,-0.003816903949783887
2007-04-11,0.0026501626308601,0.0127012041289698,0.0026501626308601,7.02336197000764e-06,48,0.014524499926299186,-0.0018232957973293856
2007-04-12,-0.0071594364389901,0.011249014860124,0.0071594364389901,5.125753012394038e-05,48,0.01576430723047695,-0.004515292370352952
2007-04-13,0.0185663319494738,0.0138570087806448,0.0185663319494738,0.000344708682058,48,0.018889235901374323,-0.005032227120729524
2007-04-16,0.0208032342262145,0.0137986934936382,0.0208032342262145,0.0004327745542707,48,0.019500128710445947,-0.005701435216807747
2007-04-17,-0.0038124799716382,0.0124171152653099,0.0038124799716382,1.453500353414284e-05,48,0.01484431782362049,-0.0024272025583105903
2007-04-18,0.0034874270218587,0.0125425166638981,0.0034874270218587,1.216214723279079e-05,48,0.014754894766309222,-0.002212378102411122
2007-04-19,-0.0014415110521866,0.010130041849858,0.0014415110521866,2.077954113576142e-06,48,0.014191753717152221,-0.004061711867294222
2007-04-20,0.0121580835430916,0.0129521171098385,0.0121580835430916,0.0001478189954407,48,0.017135693886505415,-0.004183576776666914
2007-04-23,-0.002920258702284,0.0115128367084554,0.002920258702284,8.527910888265709e-06,48,0.01459883338917286,-0.0030859966807174587
2007-04-24,0.016408872411993,0.0188099469534594,0.016408872411993,0.000269251093833,48,0.018299445876864703,0.0005105010765946959
2007-04-25,0.0097175074461929,0.01381508858942,0.0097175074461929,9.442995096681494e-05,48,0.01646650841132613,-0.0026514198219061303
2007-04-26,0.0015374383508431,0.0113062633355353,0.0015374383508431,2.3637166826432987e-06,48,0.01421816952871822,-0.00291190619318292
2007-04-27,-0.0139927899449761,0.0114585672480523,0.0139927899449761,0.0001957981704442,48,0.017638264485494413,-0.0061796972374421125
2007-04-30,0.0051193699278232,0.0151241947139734,0.0051193699278232,2.62079484579014e-05,48,0.015203713868260972,-7.951915428757242e-05
2007-05-03,0.0178085632881362,0.0140227135059991,0.0178085632881362,0.0003171449263875,48,0.01868214914098395,-0.004659435634984849
2007-05-04,-0.0008083243261159,0.013131239077965,0.0008083243261159,6.533882161908014e-07,48,0.014017362164596025,-0.0008861230866310243
2007-05-07,-0.0040380298711465,0.0104953407301121,0.0040380298711465,1.6305685240271474e-05,48,0.014906359522769424,-0.004411018792657324
2007-05-08,-0.0082229126266844,0.0107637041405287,0.0082229126266844,6.76162920660859e-05,48,0.016056335280127513,-0.0052926311395988124
2007-05-09,0.0041692098775836,0.014736635083034,0.0041692098775836,1.73823110033413e-05,48,0.014942440099621621,-0.00020580501658762178
2007-05-10,0.0018046863519175,0.0144176366139538,0.0018046863519175,3.256892828797333e-06,48,0.014291756408930439,0.00012588020502336122
2007-05-11,-0.0010464475329549,0.0124972610359928,0.0010464475329549,1.0950524392274708e-06,48,0.014082951664214128,-0.001585690628221328
2007-05-14,0.0152792160541436,0.0136417682728935,0.0152792160541436,0.0002334544432292,48,0.01799039673747899,-0.00434862846458549
2007-05-15,0.0033892734119279,0.0130349336530413,0.0033892734119279,1.1487174260801808e-05,48,0.014727889811500394,-0.0016929561584590937
2007-05-16,0.0112344821325278,0.0142307486666835,0.0112344821325278,0.000126213588786,48,0.016882537746177602,-0.002651789079494102
2007-05-17,0.012833437444801,0.0117535743271888,0.012833437444801,0.0001646971166496,48,0.0173207386670458,-0.005567164339857
2007-05-18,-0.0042809722367915,0.0092626229666017,0.0042809722367915,1.832672329218028e-05,48,0.014973178226382295,-0.0057105552597805954
2007-05-21,0.0087280482432414,0.0174954960630203,0.0087280482432414,7.617882613634929e-05,48,0.016194994779696808,0.0013005012833234922
2007-05-22,0.0056160071917904,0.0145676357081891,0.0056160071917904,3.153953677824208e-05,48,0.015340233602738248,-0.0007725978945491482
2007-05-23,-0.0059906442634201,0.0123106376587496,0.0059906442634201,3.588781869084932e-05,48,0.015443196510144143,-0.003132558851394544
2007-05-24,-0.0015602371852001,0.0148349225791816,0.0015602371852001,2.4343400740812817e-06,48,0.014224447548467203,0.0006104750307143973
2007-05-25,0.0068186214567997,0.013479915937826,0.0068186214567997,4.6493598571130246e-05,48,0.015670690313286762,-0.0021907743754607627
2007-05-28,0.0054258527063453,0.0132938972267598,0.0054258527063453,2.943987759095536e-05,48,0.015287966018622924,-0.0019940687918631253
2007-05-29,0.0071102951048387,0.0145771000929099,0.0071102951048387,5.055629647789332e-05,48,0.015750809717211517,-0.0011737096243016176
2007-05-30,-0.0075336898892934,0.0162056593217271,0.0075336898892934,5.675648334804204e-05,48,0.015867092473804783,0.00033856684792231764
2007-05-31,0.0062804731699745,0.0143764259014265,0.0062804731699745,3.94443432387701e-05,48,0.015522839229922075,-0.0011464133284955751
2007-06-01,0.0046266329090279,0.0144431929948904,0.0046266329090279,2.140573207490065e-05,48,0.015068235780900243,-0.0006250427860098433
2007-06-04,-0.0064554925772648,0.0136090543365291,0.0064554925772648,4.167338441512149e-05,48,0.015570928108604696,-0.0019618737720755956
2007-06-05,0.0066399572445308,0.0141846093308004,0.0066399572445308,4.408903220919767e-05,48,0.015621608049785561,-0.0014369987189851614
2007-06-06,-0.0185471257005115,0.0125566273605364,0.0185471257005115,0.0003439958717505,48,0.01888398800986359,-0.00632736064932719
2007-06-07,-0.0079933185739941,0.0114132137667103,0.0079933185739941,6.389314182535946e-05,48,0.015993301267454973,-0.004580087500744673
2007-06-08,-0.0100879136199477,0.0126930774018025,0.0100879136199477,0.0001017660012035,48,0.016568118623943116,-0.003875041222140616
2007-06-11,0.0006256986583857,0.0118776297650186,0.0006256986583857,3.9149881110577203e-07,48,0.013967054298827927,-0.002089424533809328
2007-06-12,-0.0030418925201409,0.0156794352143368,0.0030418925201409,9.253110104089536e-06,48,0.014632305398178181,0.001047129816158619
2007-06-13,-0.0078913079142256,0.0078834789556068,0.0078913079142256,6.227274059711997e-05,48,0.0159652925851729,-0.008081813629566099
2007-06-14,0.0169542501329013,0.0141259742718744,0.0169542501329013,0.0002874465975689,48,0.01844859210448494,-0.004322617832610542
2007-06-15,0.0022268799371771,0.0108075860932096,0.0022268799371771,4.958994254601931e-06,48,0.01440798943709973,-0.0036004033438901285
2007-06-18,-0.003482790564895,0.0084195459004573,0.003482790564895,1.2129830118922186e-05,48,0.014753619167280095,-0.006334073266822796
2007-06-19,0.0139491760752211,0.0140624268053841,0.0139491760752211,0.0001945795131775,48,0.017626322473129646,-0.0035638956677455456
2007-06-20,0.0126033194064065,0.0149583294249108,0.0126033194064065,0.0001588436600599,48,0.01725769347704816,-0.0022993640521373586
2007-06-21,0.004969337223291,0.0129795195451513,0.004969337223291,2.46943124387862e-05,48,0.015162465577928642,-0.002182946032777343
2007-06-22,-0.0003584884655543,0.0111026017108781,0.0003584884655543,1.285139799355197e-07,48,0.01389343843002928,-0.002790836719151181
2007-06-25,0.0022841663887063,0.0100859238923255,0.0022841663887063,5.217416091295876e-06,48,0.014423759104864969,-0.004337835212539469
2007-06-26,0.0008604674605626,0.0100549125112622,0.0008604674605626,7.404042506871173e-07,48,0.014031725260667123,-0.003976812749404923
2007-06-27,-0.0041506017617105,0.0122637015520614,0.0041506017617105,1.7227494984314922e-05,48,0.014937322136983967,-0.002673620584922567
2007-06-28,0.0120914160300832,0.0180981297488771,0.0120914160300832,0.0001462023416125,48,0.017117424110612414,0.000980705638264686
2007-06-29,0.0109895182044868,0.0188747916873058,0.0109895182044868,0.0001207695103667,48,0.01681537603072521,0.0020594156565805904
