date,RELIANCE.NS,ITC.NS,HINDUNILVR.NS,SBIN.NS,IDBI.NS,ONGC.NS,IOC.NS,BPCL.NS,HINDPETRO.NS,GAIL.NS,TATASTEEL.NS,HINDALCO.NS,BHEL.NS,TATAPOWER.NS,TATAMOTORS.NS,M&M.NS,CIPLA.NS,SUNPHARMA.NS,DRREDDY.NS,BRITANNIA.NS
1996-01-01,4.617048740386963,2.9001805782318115,33.360713958740234,11.965004920959473,25.9926815032959,5.200869560241699,,,,,5.08521842956543,58.14008331298828,4.545985698699951,6.147127151489258,52.527034759521484,24.77086639404297,7.228331565856934,1.3970909118652344,9.592759132385254,
1996-01-02,4.581144332885742,2.7905216217041016,33.71696472167969,11.584160804748535,25.633739471435547,5.280789852142334,,2.944420099258423,8.708691596984863,,4.99078893661499,58.26662063598633,4.339932918548584,6.070607662200928,52.222923278808594,24.41770362854004,7.136669158935547,1.350581407546997,9.511030197143555,7.37700891494751
1996-01-03,4.615927219390869,2.701063871383667,33.51725769042969,11.275290489196777,25.68324851989746,5.225463390350342,,2.941274881362915,8.649041175842285,,4.9920654296875,58.0135612487793,4.404324531555176,6.032346248626709,52.05012893676758,15.573400497436523,7.086469650268555,1.3562828302383423,9.515331268310547,7.284215927124023
1996-01-04,4.573288917541504,2.7518527507781982,33.51993942260742,11.236308097839355,25.23765754699707,5.226998329162598,,2.9570038318634033,8.649041175842285,,4.833829879760742,57.38407897949219,4.327057838439941,5.94307279586792,51.656192779541016,15.49365520477295,7.012267589569092,1.3502814769744873,9.173345565795898,7.284215927124023
1996-01-05,4.541873931884766,2.702218532562256,33.46597671508789,11.173332214355469,25.299543380737305,5.228535175323486,,2.9570038318634033,8.708691596984863,,4.738122940063477,57.229087829589844,4.404324531555176,6.0604023933410645,51.469581604003906,15.573400497436523,6.994807720184326,1.3469809293746948,8.956110954284668,7.288857460021973
1996-01-08,4.360109329223633,2.619108200073242,33.4794807434082,10.846471786499023,24.928220748901367,5.219314098358154,,2.8815059661865234,8.382116317749023,,4.560745716094971,56.960208892822266,4.339932918548584,6.111418724060059,51.49031448364258,15.322771072387695,6.874772548675537,1.290269374847412,8.839963912963867,7.3306121826171875
1996-01-09,4.234445571899414,2.612182140350342,33.60631561279297,11.440221786499023,24.866334915161133,5.225463390350342,,2.894718885421753,8.496936798095703,,4.539052486419678,56.938072204589844,4.327057838439941,6.200689792633057,50.6332893371582,14.844290733337402,6.893321514129639,1.2527616024017334,8.594767570495605,7.3306121826171875
1996-01-10,4.125609874725342,2.603524684906006,33.84651565551758,10.915437698364258,24.594026565551758,5.194722652435303,,2.919255256652832,8.261323928833008,,4.514807224273682,56.938072204589844,4.249786853790283,6.147127151489258,51.44883728027344,15.094924926757812,6.950067520141602,1.3199753761291504,8.73027229309082,7.005838871002197
1996-01-11,4.254641532897949,2.617375612258911,33.68189239501953,11.332269668579102,24.606407165527344,5.194722652435303,,2.8815059661865234,8.277729988098145,,4.620723247528076,57.25438690185547,4.249786853790283,6.371587753295898,51.884254455566406,15.018970489501953,7.02099609375,1.2962703704833984,8.92599868774414,7.005838871002197
1996-01-12,4.209761142730713,2.6433475017547607,33.70077896118164,11.338262557983398,24.742555618286133,5.163985252380371,,2.8815059661865234,8.410446166992188,,4.6028571128845215,57.38092041015625,4.275543212890625,6.499120712280273,52.513206481933594,15.33036994934082,7.143216133117676,1.314273715019226,8.947508811950684,7.005838871002197
1996-01-15,4.16600227355957,2.615067958831787,33.68189239501953,11.374250411987305,24.75493621826172,5.196258544921875,,2.8815059661865234,8.410446166992188,,4.564574718475342,56.938072204589844,4.224030494689941,6.5093231201171875,52.20909881591797,15.33036994934082,7.110478401184082,1.2908693552017212,8.947508811950684,7.005838871002197
1996-01-16,4.17385721206665,2.6069867610931396,33.80872344970703,11.61414909362793,24.07417869567871,5.1793532371521,,2.9570038318634033,8.206151962280273,,4.555643081665039,56.083988189697266,4.275543212890625,6.414947032928467,52.09160614013672,15.413908958435059,7.323269367218018,1.3082724809646606,8.82921028137207,6.7274603843688965
1996-01-17,4.007800102233887,2.6064107418060303,33.965267181396484,11.137348175048828,23.826631546020508,5.225463390350342,,2.9570038318634033,8.206151962280273,,4.401234149932861,57.38407897949219,4.069493293762207,6.3333258628845215,51.85661697387695,15.33036994934082,7.127939224243164,1.290269374847412,8.861473083496094,6.7274603843688965
1996-01-18,3.8967220783233643,2.5740902423858643,34.00574493408203,11.0623779296875,23.45530128479004,5.1685943603515625,,2.7682583332061768,8.298604965209961,,4.308080196380615,57.004478454589844,4.069493293762207,6.404745101928711,51.98793411254883,15.569605827331543,7.1159348487854,1.2812672853469849,8.799099922180176,6.5882720947265625
1996-01-19,3.8282809257507324,2.462700366973877,34.3727912902832,11.19432258605957,22.861188888549805,5.225463390350342,,2.7682583332061768,8.283696174621582,,4.2710747718811035,57.197444915771484,4.030858039855957,6.430251121520996,52.07778549194336,15.341758728027344,7.137759208679199,1.2551616430282593,8.82060718536377,6.866649150848389
1996-01-22,3.8933565616607666,2.445385217666626,34.308021545410156,11.584160804748535,22.465103149414062,5.200869560241699,,2.7682583332061768,8.261323928833008,,4.315737247467041,57.108890533447266,4.017980098724365,6.340978145599365,52.533931732177734,15.341758728027344,7.223966598510742,1.2602626085281372,8.790493965148926,6.866649150848389
1996-01-23,3.728421688079834,2.2941722869873047,34.35660171508789,11.707109451293945,22.53936767578125,5.163985252380371,,2.7682583332061768,8.171854019165039,,4.144741535186768,56.944393157958984,4.069493293762207,6.414947032928467,51.15164566040039,15.74428939819336,6.959888935089111,1.2542614936828613,8.934601783752441,6.866649150848389
1996-01-24,3.6005120277404785,2.194902181625366,34.18927001953125,11.31127643585205,22.34132957458496,5.191648483276367,,2.7682583332061768,8.171854019165039,,4.088593482971191,56.84634017944336,4.017980098724365,6.40984582901001,49.59657287597656,15.49365520477295,6.572500228881836,1.2380578517913818,9.005579948425293,6.866649150848389
1996-01-25,3.449042320251465,2.172393560409546,34.167686462402344,11.419228553771973,22.378463745117188,5.102508544921875,,2.7682583332061768,8.103257179260254,,4.000543117523193,57.232242584228516,3.9664666652679443,6.376688003540039,49.797000885009766,15.949352264404297,6.483017921447754,1.2428587675094604,9.119575500488281,6.959442615509033
1996-01-26,3.449042320251465,2.172393560409546,34.167686462402344,11.419228553771973,22.378463745117188,5.102508544921875,,2.7682583332061768,8.103257179260254,,4.000543117523193,57.232242584228516,3.9664666652679443,6.376688003540039,49.797000885009766,15.949352264404297,6.483017921447754,1.2428587675094604,9.119575500488281,6.959442615509033
1996-01-29,3.720566987991333,2.2941722869873047,34.47804260253906,11.94101619720459,22.353710174560547,5.1393961906433105,,2.8085248470306396,8.232992172241211,,4.183023929595947,57.31764602661133,3.9664666652679443,6.478715896606445,50.025081634521484,16.120235443115234,6.608510494232178,1.2542614936828613,9.130329132080078,6.7274603843688965
1996-01-30,4.054924011230469,2.437305450439453,34.72903060913086,12.207901000976562,22.55175018310547,5.197797775268555,,2.8311736583709717,8.201676368713379,,4.218754291534424,57.61499786376953,4.172519207000732,6.511873722076416,49.9075813293457,17.08859634399414,6.499387741088867,1.269264817237854,9.1453857421875,6.7274603843688965
1996-01-31,3.9662857055664062,2.346115827560425,34.70475769042969,11.791078567504883,22.7745418548584,5.196258544921875,,2.8311736583709717,8.201676368713379,,4.260865688323975,57.31764602661133,4.020557880401611,6.529727935791016,50.83372116088867,17.08859634399414,6.607419490814209,1.2620632648468018,9.252925872802734,6.843449592590332
1996-02-01,4.125609874725342,2.4921345710754395,34.97464370727539,12.375831604003906,22.824052810668945,5.216240882873535,,2.894089460372925,8.350800514221191,,4.356571674346924,58.80437088012695,4.172519207000732,6.603696346282959,52.27820587158203,17.82909393310547,6.8027520179748535,1.2782665491104126,9.216362953186035,7.284215927124023
1996-02-02,4.573288917541504,2.777824640274048,35.6061897277832,13.230475425720215,23.665721893310547,5.1993327140808105,,2.945049285888672,8.589391708374023,,4.674319744110107,61.366573333740234,4.51765251159668,6.991400718688965,54.65574645996094,17.646818161010742,6.898778915405273,1.3319774866104126,9.63577651977539,7.980160713195801
1996-02-05,4.95365047454834,2.9198036193847656,36.69383239746094,14.064126014709473,24.01228904724121,5.1993327140808105,,3.2338292598724365,8.947283744812012,,4.8568010330200195,63.546043395996094,4.339932918548584,6.940386772155762,54.94602966308594,18.379730224609375,6.9293341636657715,1.3772869110107422,9.893877029418945,8.154147148132324
1996-02-06,4.538508892059326,2.892099142074585,36.118961334228516,14.18407154083252,25.0519962310791,5.291548728942871,,3.3470778465270996,8.948773384094238,,4.445898056030273,63.504913330078125,4.327057838439941,6.930184364318848,53.798728942871094,18.19745635986328,7.001354217529297,1.3685853481292725,9.786334991455078,8.21214485168457
1996-02-07,4.622658729553223,2.849391460418701,36.199951171875,13.935181617736816,25.41093635559082,5.286935806274414,,3.2715790271759033,9.245523452758789,,4.620723247528076,63.60614013671875,4.327057838439941,6.932735919952393,54.61428451538086,18.508838653564453,7.22614860534668,1.3802876472473145,9.90032958984375,8.026556015014648
1996-02-08,5.026580810546875,3.1489319801330566,37.02846908569336,14.331012725830078,26.747713088989258,5.374540328979492,,3.334494113922119,9.245523452758789,,5.291945457458496,65.54203033447266,4.378568172454834,7.427566051483154,58.96849822998047,19.139223098754883,7.282893657684326,1.4342989921569824,10.23801326751709,8.068313598632812
1996-02-09,5.318303108215332,3.252819299697876,36.83687210083008,15.344587326049805,30.98081398010254,5.901699542999268,,3.4439659118652344,10.091046333312988,,5.600760459899902,68.69894409179688,4.996718883514404,7.486230850219727,61.09723663330078,19.1582088470459,7.579708099365234,1.5273178815841675,10.620864868164062,8.815292358398438
1996-02-12,4.985065460205078,3.150663375854492,37.70319747924805,14.444966316223145,29.11180305480957,6.381211280822754,,3.586153268814087,9.327543258666992,,5.285566329956055,69.8123779296875,5.522149085998535,7.453073024749756,59.327903747558594,18.808841705322266,7.4651288986206055,1.4985121488571167,11.154271125793457,9.047274589538574
1996-02-13,5.284641742706299,3.225693464279175,38.29155731201172,14.522933006286621,29.384113311767578,6.48725700378418,,3.7119829654693604,10.04183292388916,,5.288117408752441,70.74555206298828,5.74365234375,7.6520256996154785,59.0790901184082,19.65567398071289,7.512052059173584,1.5243182182312012,11.412373542785645,8.815292358398438
1996-02-14,5.2880072593688965,3.326118230819702,38.108028411865234,14.948756217956543,30.188648223876953,6.6440205574035645,,3.7126128673553467,10.362446784973145,,5.43742036819458,77.03087615966797,6.181509017944336,8.090740203857422,59.45230484008789,21.189855575561523,7.57861852645874,1.5807294845581055,11.375809669494629,9.116870880126953
1996-02-15,5.203856945037842,3.3590149879455566,38.545249938964844,14.861793518066406,29.730680465698242,6.656317234039307,,3.7119829654693604,10.14174747467041,,5.3621320724487305,73.08000183105469,6.181509017944336,8.047380447387695,59.327903747558594,21.262004852294922,7.485864639282227,1.5879309177398682,11.491957664489746,9.093669891357422
1996-02-16,5.111853122711182,3.2591681480407715,38.054039001464844,14.513936996459961,29.136558532714844,6.178338050842285,,3.664168357849121,10.243149757385254,,5.249835014343262,72.93132019042969,5.795165061950684,7.789759635925293,57.74516296386719,20.863271713256836,7.482586860656738,1.6512441635131836,11.550030708312988,8.83849048614502
