date,HCLTECH.NS,TECHM.NS,NESTLEIND.NS,ULTRACEMCO.NS,SHREECEM.NS,JSWSTEEL.NS,NTPC.NS,GAIL.NS,DIVISLAB.NS,KOTAKBANK.NS,PNB.NS,BAJFINANCE.NS,MARUTI.NS,TATACONSUM.NS,BAJAJFINSV.NS,PETRONET.NS,ZEEL.NS,YESBANK.NS,GLENMARK.NS,PEL.NS,BEL.NS,TORNTPHARM.NS,BIOCON.NS,MOTHERSON.NS,ASHOKLEY.NS,PGHH.NS,HAVELLS.NS,JINDALSTEL.NS,RELIANCE.NS,ITC.NS,HINDUNILVR.NS,LT.NS,SBIN.NS,ICICIBANK.NS,BANKBARODA.NS,IDBI.NS,ONGC.NS,IOC.NS,BPCL.NS,HINDPETRO.NS,TATASTEEL.NS,HINDALCO.NS,GRASIM.NS,ACC.NS,AMBUJACEM.NS,BHEL.NS,TATAPOWER.NS,TATAMOTORS.NS,M&M.NS,HEROMOTOCO.NS,TVSMOTOR.NS,ASIANPAINT.NS,CIPLA.NS,SUNPHARMA.NS,DRREDDY.NS,LUPIN.NS,BRITANNIA.NS
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-04,,,,,,,,-0.03945112936991935,,,,,,0.00028126142282536293,,,,,,0.06424539311117661,,,,,,,,,0.010638413309518757,0.023606880425351973,0.0015061604258135297,,0.0068750161534800736,,,0.03668483027222158,-0.007407290671151312,-0.006440527498556836,0.0,-0.009409635767630875,-0.026613016838522352,0.004410477043746086,,,,-0.005273868302683171,-0.015580800482102308,-0.005115734954987294,0.011445648731507996,,,,0.022668939503873053,0.010807661841440996,0.026700516580608902,,0.0010876471174410263
1999-01-05,,,,,,,,-0.03452411920827603,,,,,,0.013799178189003447,,,,,,0.03051806865949014,,,,,,,,,-0.004048950930963469,0.003203169793905003,0.0015034753061027306,,0.00031048277618039855,,,-0.01441685482749755,-0.0186565336123653,-0.02180296076427901,-0.03559323217061361,-0.006908239836032837,0.004556952855297336,-0.001527209218682768,,,,-0.01723203247873606,-0.011990170768450215,0.08015722364548217,-0.017271887141146136,,,,0.049777738351640455,0.058354943441302876,0.014535640796707217,,-0.0016011511346548657
1999-01-06,,,,,,,,0.011097486644758847,,,,,,0.02916670901037932,,,,,,-0.01143042470179001,,,,,,,,,0.008130361143613207,0.017879564018398852,0.05525553464146271,,-0.002172138791593059,,,-0.009308526683426188,0.015209112293176563,0.009638658710703574,0.028119414196631443,0.026086694524759535,0.029278190578668317,0.031548818447714844,,,,0.08015424292904605,0.017475561993329336,0.02940333031872977,0.072727251492535,,,,0.01873412377892114,0.04726005714760739,0.010721185140317502,,0.001088207811623887
1999-01-07,,,,,,,,-0.020121828829718025,,,,,,-0.0026986180527428516,,,,,,-0.01957688910275801,,,,,,,,,0.04838691567326503,0.027917290419352314,0.005691318821237301,,0.06343293213258949,,,0.0335570629291968,-0.006242008528435483,0.0031027018527209904,0.0299144256133963,0.041949034241579586,0.008012805398100564,0.006302223066889212,,,,0.0800930757260725,0.01145071143766585,0.04189317764991629,0.08022567200001585,,,,0.008831322071608305,0.0006538434914151736,0.04918057319897784,,0.00915318650625574
1999-01-08,,,,,,,,-0.004978429446408583,,,,,,0.05520955373344183,,,,,,0.044626313425585096,,,,,,,,,0.08000022440067345,0.024717891208847043,0.015845479231537674,,0.0801171736914692,,,0.06233756454306527,-0.005276487131498864,-0.000118971098284959,0.03692961876008716,0.057136988690977386,0.037360731277195525,0.04623314601627526,,,,0.012386352643105614,0.012735705648434292,0.08015695416959945,0.056485041874285935,,,,0.01956749966941973,-0.004901364464327984,0.06801467606654366,,0.08004570969809577
1999-01-11,,,,,,,,0.028768341687395393,,,,,,0.01308013072657399,,,,,,-0.01975654322120035,,,,,,,,,0.03347579193237116,0.0004167995059924934,-0.030639883571243254,,0.012993735955287411,,,0.031785053411720776,-0.009851235761148103,-0.005353977179116898,0.006402741376230203,-0.019041767992578174,0.0038317689639741914,-0.0008802420104697672,,,,-0.07014680029998399,-0.014904651276762104,0.08000959002396435,-0.044554111868563506,,,,-0.030303165186353898,0.00459718883258442,-0.050688659696885296,,0.08004373673316101
1999-01-12,,,,,,,,-0.04498486191088735,,,,,,0.02556963855516492,,,,,,-0.01518116951112436,,,,,,,,,-0.024121465437087708,-0.04357931598136755,-0.01264406636551696,,-0.014964949173030262,,,-0.030805886658873183,-0.01581597217107167,-0.007416506154368063,0.0039759723984775786,0.003921581308743871,-0.04427494579462177,-0.019383329704832364,,,,-0.009122637029074454,-0.004728281846858251,-0.04207700396372138,-0.05129517864211286,,,,-0.03541673923309907,-0.07159202309194879,-0.048136906234301224,,-0.04383521716091321
1999-01-13,,,,,,,,0.005728525496244918,,,,,,-0.02431506145899165,,,,,,0.020730708152604027,,,,,,,,,-0.02118609659735249,0.00230360449859468,-0.005791579704637284,,-0.016006827036582738,,,-0.036674999195124514,-0.062208649051743836,0.012292485838223843,-0.0158415590365778,-0.00957062517297913,-0.013578382927858401,0.017070852345349774,,,,-0.026204295232196917,-0.058431689157569466,-0.029205583587085582,0.019661383124647047,,,,0.031317314127978335,0.036091622421262626,0.04476183872512207,,-0.019059819399333988
1999-01-14,,,,,,,,-0.05063280575731688,,,,,,-0.04364335810461406,,,,,,0.0032551044444950605,,,,,,,,,-0.0176766976144922,0.0036642649744682565,0.0008491830884853613,,-0.021229677300689254,,,-0.03553278535823934,-0.03869552225791417,-0.018928476708542585,-0.03480889555180422,-0.045553146964236846,0.018218628228533484,-0.015812504977208208,,,,-0.02763610703105046,-0.0010097020248860389,0.08014465733641796,0.009640681969678377,,,,-0.02623002524555451,-0.0008499002647701648,-0.020966266123209953,,-0.01554381937687943
1999-01-15,,,,,,,,-0.03333340405945728,,,,,,-0.018518602583388333,,,,,,-0.005709666882843356,,,,,,,,,-0.008079639507400982,-0.005260171685154247,-0.012576868945942454,,-0.03098582163737329,,,-0.02499991992182815,-0.07993066035291496,-0.07171491636932348,-0.03272862591301007,-0.03698347416122505,-0.03658018288159948,-0.07997481700643039,,,,-0.00523575433862522,-0.060605902987279414,-0.05080222599499484,-0.03395160271619979,,,,0.008656355526219794,-0.017006410393884064,-0.035381647600243094,,-0.0074209535219839085
1999-01-18,,,,,,,,-0.06275854145524606,,,,,,0.0229116184488507,,,,,,0.02075155856586952,,,,,,,,,0.003332016703986751,0.031351105836324056,0.01892750821522382,,0.002616377764642852,,,0.010796353522837032,0.02500022794828305,-0.016993647837955095,-0.02478452356906602,0.043767369151203495,-0.018159560312017042,-0.015512272469669353,,,,0.011278226886925369,0.0,0.005868502239759765,0.00521652021308161,,,,0.027665063789311217,0.0034601788215489204,0.018146690484483363,,0.04088226769964143
1999-01-19,,,,,,,,-0.05813091800165848,,,,,,-0.04084349070090376,,,,,,0.010101001856230862,,,,,,,,,-0.04022146571731222,-0.03498179448792027,-0.009156864343556448,,-0.04320101532661125,,,-0.02536756200261958,-0.03353693002285785,-0.03164870616357829,-0.04508299477796118,-0.07975334060039507,-0.06263149735344276,-0.01892805997784941,,,,-0.04739795161663851,-0.048387147381130924,-0.011668648918707447,-0.03305085286633658,,,,-0.014471833343596696,-0.010344937679332311,-0.038680251687933986,,-0.011717005216848375
1999-01-20,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0
