date,RELIANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS,LT.NS,TCS.NS,INFY.NS,WIPRO.NS,ONGC.NS,NTPC.NS,POWERGRID.NS,GAIL.NS,BHEL.NS,TATASTEEL.NS,HINDALCO.NS,SAIL.NS,TATAMOTORS.NS,M&M.NS,TATAPOWER.NS,MARUTI.NS,HINDUNILVR.NS,ITC.NS,ASIANPAINT.NS,GRASIM.NS,AMBUJACEM.NS,ACC.NS,DLF.NS,BRITANNIA.NS,COLPAL.NS,BANKBARODA.NS,CANBK.NS,INDUSINDBK.NS,IDBI.NS,PFC.NS,HAVELLS.NS,TATACHEM.NS,TATACOMM.NS,HCLTECH.NS,HEROMOTOCO.NS,TVSMOTOR.NS,TORNTPHARM.NS,APOLLOHOSP.NS,PETRONET.NS,SIEMENS.NS,JSWSTEEL.NS,ULTRACEMCO.NS,SHREECEM.NS
2007-01-02,127.48951721191406,262.76385498046875,46.13706970214844,130.2300567626953,93.45756530761719,82.64959716796875,98.49052429199219,254.85745239257812,211.48411560058594,185.485595703125,55.9145393371582,65.94705200195312,63.212337493896484,,19.060192108154297,121.8876953125,21.68657875061035,136.52088928222656,61.12247848510742,153.70960998535156,189.78500366210938,42.37974166870117,841.2911987304688,145.83815002441406,35.18828201293945,61.28797912597656,365.83251953125,102.47675323486328,790.260986328125,,85.29840087890625,130.22943115234375,33.69822692871094,35.699886322021484,42.64039993286133,55.81675720214844,,32.480552673339844,35.47945022583008,209.36866760253906,49.586585998535156,434.82391357421875,33.96492385864258,39.270023345947266,189.98338317871094,14.837451934814453,268.12261962890625,31.726028442382812,1032.557373046875,1331.9818115234375
2007-01-03,127.852783203125,265.3320617675781,45.93442153930664,129.80921936035156,94.300048828125,83.8419189453125,100.71665954589844,257.6850280761719,216.84532165527344,188.6440887451172,56.70541000366211,65.6198959350586,63.647483825683594,,18.772329330444336,121.72889709472656,21.358064651489258,137.40264892578125,61.96162414550781,155.15655517578125,185.8170623779297,42.21468734741211,846.4592895507812,142.87283325195312,34.88014221191406,61.304542541503906,366.1615295410156,102.795654296875,776.2700805664062,,84.94184875488281,131.85775756835938,34.436248779296875,37.11782455444336,48.81953048706055,57.06282424926758,,32.446346282958984,35.274696350097656,206.73182678222656,49.03583908081055,430.86566162109375,33.60551452636719,39.812843322753906,192.1854248046875,14.7056303024292,266.1670227050781,32.37562942504883,1009.8961791992188,1341.202880859375
2007-01-04,127.4496841430664,264.1515197753906,45.27685546875,129.22154235839844,92.67103576660156,83.77127838134766,102.27861022949219,260.6522521972656,213.2711944580078,186.51803588867188,55.45281982421875,65.75901794433594,62.731380462646484,,19.0745906829834,120.4404525756836,21.101810455322266,134.02891540527344,60.41761779785156,156.62010192871094,184.40489196777344,41.99334716796875,840.2056884765625,141.9293212890625,33.587913513183594,62.012062072753906,360.8136901855469,101.09479522705078,774.9684448242188,,85.85650634765625,130.030029296875,34.060272216796875,36.157493591308594,49.30158615112305,57.429317474365234,,32.15565490722656,35.667816162109375,205.93136596679688,48.13140869140625,418.18841552734375,33.28602981567383,39.129638671875,191.5337677001953,15.467273712158203,262.2557067871094,31.44935417175293,1012.8202514648438,1338.6392822265625
2007-01-05,128.21112060546875,263.5715637207031,45.57222366333008,132.0657196044922,92.75304412841797,83.52397918701172,101.33158874511719,256.71624755859375,213.94020080566406,185.68141174316406,54.68021011352539,67.3271255493164,63.212337493896484,,19.85901641845703,121.15742492675781,21.230960845947266,131.19192504882812,58.60508346557617,155.01600646972656,178.31869506835938,42.02336120605469,812.0640258789062,143.78260803222656,32.862281799316406,61.97071075439453,365.3422546386719,98.01197814941406,762.6044311523438,,85.48831939697266,128.26882934570312,33.66341781616211,36.4797477722168,46.97893524169922,56.403133392333984,,32.04877471923828,35.807044982910156,203.1532745361328,47.841304779052734,415.17120361328125,32.80680465698242,39.34489440917969,191.39894104003906,15.027864456176758,262.4898986816406,31.814241409301758,1022.5518188476562,1309.625
2007-01-08,127.08641815185547,257.6896057128906,44.19457244873047,131.51426696777344,90.48660278320312,82.23450469970703,102.4384994506836,255.1279754638672,210.68798828125,180.01318359375,52.89274597167969,68.52671813964844,62.708473205566406,,19.77985191345215,119.95362091064453,21.01827049255371,128.08656311035156,57.79950714111328,153.5442352294922,178.71653747558594,42.15091323852539,779.9273681640625,141.5923309326172,32.34539794921875,60.30734634399414,363.6650085449219,96.91352081298828,743.768798828125,,85.01549530029297,124.84613800048828,33.06464767456055,36.89223861694336,47.11040115356445,56.29319763183594,,31.877782821655273,35.57772445678711,205.2957000732422,46.62657928466797,406.1751708984375,32.00810241699219,38.44643783569336,189.08457946777344,14.89604663848877,254.29258728027344,31.18470001220703,997.6060791015625,1296.30908203125
2007-01-09,127.2307357788086,258.1452331542969,43.71811294555664,132.39222717285156,87.5938720703125,82.53477478027344,99.97869873046875,249.76083374023438,212.82229614257812,178.74813842773438,53.02073669433594,68.92535400390625,61.9068603515625,,20.506715774536133,119.1042709350586,20.610321044921875,126.8597412109375,56.92680740356445,150.6668243408203,177.3739776611328,42.030860900878906,769.9386596679688,141.42388916015625,32.216163635253906,59.58738708496094,364.07781982421875,98.57894897460938,741.4911499023438,,84.91085815429688,125.51073455810547,31.818370819091797,35.77077865600586,45.751869201660156,55.157073974609375,,31.561447143554688,34.99623107910156,204.47166442871094,46.54589080810547,404.29290771484375,31.94820213317871,38.764644622802734,187.48919677734375,14.983926773071289,250.1354522705078,32.7285041809082,984.9503784179688,1293.8798828125
2007-01-10,126.71810913085938,254.18942260742188,43.060546875,128.25653076171875,84.72354125976562,81.5367660522461,99.5113296508789,246.11279296875,209.2650604248047,176.65467834472656,53.94877243041992,66.97740936279297,60.80752182006836,,20.52829933166504,113.4847412109375,20.47911834716797,126.32301330566406,55.55063247680664,150.2285919189453,174.32095336914062,41.83205032348633,764.7708740234375,140.5140838623047,32.43485641479492,59.63703918457031,357.32366943359375,96.59459686279297,737.406005859375,,86.04251098632812,124.58026123046875,31.518985748291016,33.77922058105469,45.050689697265625,56.73297882080078,,32.51046371459961,34.84061813354492,198.5859375,45.68489074707031,404.1822509765625,31.76849937438965,38.66169357299805,186.65780639648438,14.837451934814453,245.48629760742188,31.98265838623047,945.9780883789062,1314.7974853515625
2007-01-11,129.0421905517578,263.61309814453125,42.95275115966797,129.489990234375,85.54735565185547,84.53081512451172,101.68827056884766,251.2181854248047,216.4219207763672,178.1686248779297,56.645965576171875,68.78620147705078,62.891685485839844,,20.193660736083984,113.83660125732422,20.93422508239746,128.9683074951172,58.03447341918945,151.8657684326172,181.1828155517578,42.55231475830078,786.7454833984375,146.8153076171875,33.63761520385742,60.23701858520508,358.89776611328125,98.8978500366211,758.3385009765625,,86.83702850341797,126.40791320800781,31.4075870513916,33.102474212646484,47.28569030761719,63.40313720703125,,33.05765914916992,35.20916748046875,198.0679473876953,47.23160171508789,405.8153991699219,31.94820213317871,38.68976974487305,187.75885009765625,14.764217376708984,250.18222045898438,32.57612228393555,971.517822265625,1308.9945068359375
2007-01-12,133.322021484375,274.9628601074219,45.77487564086914,141.09164428710938,91.36260986328125,88.2844009399414,103.87747192382812,255.91343688964844,224.26455688476562,181.46591186523438,57.27684783935547,69.4668197631836,63.510074615478516,,20.236835479736328,118.95088195800781,21.208410263061523,130.6935272216797,60.85396194458008,155.64439392089844,185.65794372558594,43.44514465332031,801.1201782226562,148.06201171875,34.015350341796875,59.0618782043457,364.70361328125,100.13805389404297,769.943359375,,85.80611419677734,127.77042388916016,33.496315002441406,35.06825256347656,49.12628173828125,63.1465950012207,,39.6709098815918,35.995418548583984,205.2957000732422,49.01256561279297,411.40667724609375,32.84674835205078,39.101566314697266,189.3991241455078,15.130391120910645,261.5296630859375,33.366065979003906,980.7012939453125,1323.884521484375
2007-01-15,135.85511779785156,273.9893798828125,47.17192840576172,138.99476623535156,91.12403106689453,94.20182037353516,104.46783447265625,261.9264221191406,224.671142578125,183.06150817871094,57.322547912597656,68.89901733398438,63.44136428833008,,20.258426666259766,117.58566284179688,22.017141342163086,132.1120147705078,66.99640655517578,156.85159301757812,189.1286163330078,43.722747802734375,787.5272827148438,149.376220703125,34.19426345825195,64.54851531982422,366.4711608886719,102.08695983886719,784.4406127929688,,86.87578582763672,127.53775787353516,33.39884948730469,34.99091720581055,48.77570343017578,65.6753921508789,,40.5515251159668,36.01179885864258,218.9741668701172,48.826419830322266,406.3966369628906,32.62709426879883,39.39168930053711,188.92727661132812,15.525863647460938,277.5729675292969,33.406166076660156,1022.0038452148438,1302.8768310546875
