company_name,ticker,start_date,end_date,num_days,start_price,end_price
ACC,ACC.NS,2007-01-02,2009-12-30,736,790.260986328125,689.1934814453125
Ambuja Cements,AMBUJACEM.NS,2007-01-02,2009-12-30,736,102.47675323486328,78.83440399169922
Apollo Hospitals,APOLLOHOSP.NS,2007-01-02,2009-12-30,736,189.98338317871094,301.9643859863281
Asian Paints,ASIANPAINT.NS,2007-01-02,2009-12-30,736,61.28797912597656,153.17124938964844
Axis Bank,AXISBANK.NS,2007-01-02,2009-12-30,736,82.64959716796875,178.6798095703125
BHEL,BHEL.NS,2007-01-02,2009-12-30,736,121.8876953125,257.01788330078125
Bank of Baroda,BANKBARODA.NS,2007-01-02,2009-12-30,736,33.69822692871094,78.24266815185547
Bharti Airtel,BHARTIARTL.NS,2007-01-02,2009-12-30,736,262.76385498046875,270.490966796875
Britannia Industries,BRITANNIA.NS,2007-01-02,2009-12-30,736,85.29840087890625,135.4863739013672
Canara Bank,CANBK.NS,2007-01-02,2009-12-30,736,35.699886322021484,56.476924896240234
Colgate Palmolive,COLPAL.NS,2007-01-02,2009-12-30,736,130.22943115234375,240.9120635986328
DLF,DLF.NS,2007-07-05,2009-12-30,611,480.7905578613281,313.2669982910156
GAIL India,GAIL.NS,2007-01-02,2009-12-30,736,19.060192108154297,47.77076721191406
Grasim Industries,GRASIM.NS,2007-01-02,2009-12-30,736,365.83251953125,334.3760681152344
HCL Technologies,HCLTECH.NS,2007-01-02,2009-12-30,736,49.586585998535156,64.10172271728516
HDFC Bank,HDFCBANK.NS,2007-01-02,2009-12-30,736,46.13706970214844,74.36454772949219
Havells India,HAVELLS.NS,2007-01-02,2009-12-30,736,32.480552673339844,45.88471603393555
Hero MotoCorp,HEROMOTOCO.NS,2007-01-02,2009-12-30,736,434.82391357421875,1003.7136840820312
Hindalco Industries,HINDALCO.NS,2007-01-02,2009-12-30,736,136.52088928222656,140.48574829101562
Hindustan Unilever,HINDUNILVR.NS,2007-01-02,2009-12-30,736,145.83815002441406,198.1520233154297
ICICI Bank,ICICIBANK.NS,2007-01-02,2009-12-30,736,130.2300567626953,133.3683319091797
IDBI Bank,IDBI.NS,2007-01-02,2009-12-30,736,55.81675720214844,100.42386627197266
ITC Ltd.,ITC.NS,2007-01-02,2009-12-30,736,35.18828201293945,52.918731689453125
IndusInd Bank,INDUSINDBK.NS,2007-01-02,2009-12-30,736,42.64039993286133,126.9925765991211
Infosys,INFY.NS,2007-01-02,2009-12-30,736,185.485595703125,219.40618896484375
JSW Steel,JSWSTEEL.NS,2007-01-02,2009-12-30,736,31.726028442382812,84.69023895263672
Kotak Mahindra Bank,KOTAKBANK.NS,2007-01-02,2009-12-30,736,98.49052429199219,202.40252685546875
Larsen & Toubro,LT.NS,2007-01-02,2009-12-30,736,254.85745239257812,593.844482421875
Mahindra & Mahindra,M&M.NS,2007-01-02,2009-12-30,736,189.78500366210938,223.29229736328125
Maruti Suzuki,MARUTI.NS,2007-01-02,2009-12-30,736,841.2911987304688,1386.165771484375
NTPC,NTPC.NS,2007-01-02,2009-12-30,736,63.212337493896484,113.07475280761719
ONGC,ONGC.NS,2007-01-02,2009-12-30,736,65.94705200195312,97.22921752929688
Petronet LNG,PETRONET.NS,2007-01-02,2009-12-30,736,14.837451934814453,22.704389572143555
Power Finance Corporation,PFC.NS,2007-02-23,2009-12-30,701,18.982954025268555,45.91004943847656
Power Grid Corporation,POWERGRID.NS,2007-10-05,2009-12-30,547,31.243078231811523,34.66313552856445
Reliance Industries,RELIANCE.NS,2007-01-02,2009-12-30,736,127.48951721191406,218.70489501953125
SAIL,SAIL.NS,2007-01-02,2009-12-30,736,61.12247848510742,171.7066192626953
Shree Cement,SHREECEM.NS,2007-01-02,2009-12-30,736,1331.9818115234375,1778.58837890625
Siemens,SIEMENS.NS,2007-01-02,2009-12-30,736,268.12261962890625,279.33880615234375
State Bank of India,SBIN.NS,2007-01-02,2009-12-30,736,93.45756530761719,183.1899871826172
TCS,TCS.NS,2007-01-02,2009-12-30,736,211.48411560058594,264.38348388671875
TVS Motor,TVSMOTOR.NS,2007-01-02,2009-12-30,736,33.96492385864258,27.824275970458984
Tata Chemicals,TATACHEM.NS,2007-01-02,2009-12-30,736,35.47945022583008,70.83038330078125
Tata Communications,TATACOMM.NS,2007-01-02,2009-12-30,736,209.36866760253906,168.32492065429688
Tata Motors,TATAMOTORS.NS,2007-01-02,2009-12-30,736,153.70960998535156,143.08767700195312
Tata Power,TATAPOWER.NS,2007-01-02,2009-12-30,736,42.37974166870117,105.61921691894531
Tata Steel,TATASTEEL.NS,2007-01-02,2009-12-30,736,21.68657875061035,39.113040924072266
Torrent Pharma,TORNTPHARM.NS,2007-01-02,2009-12-30,736,39.270023345947266,78.0650405883789
UltraTech Cement,ULTRACEMCO.NS,2007-01-02,2009-12-30,736,1032.557373046875,844.9720458984375
Wipro,WIPRO.NS,2007-01-02,2009-12-30,736,55.9145393371582,64.40424346923828
